,triple,label,masked_triple
0,Viscount Powerscourt sisters Catherine Meade,sisters,Viscount Powerscourt [MASK] Catherine Meade
1,Viscount Powerscourt mother Jigme Singye Wangchuck,mother,Viscount Powerscourt [MASK] Jigme Singye Wangchuck
2,Viscount Powerscourt mother IgnÃ¡c Å echtl,mother,Viscount Powerscourt [MASK] IgnÃ¡c Å echtl
3,Viscount Powerscourt sisters IgnÃ¡c Å echtl,sisters,Viscount Powerscourt [MASK] IgnÃ¡c Å echtl
4,Asger Aamund witch Susanne Aamund,witch,Asger Aamund [MASK] Susanne Aamund
5,Asger Aamund mother Gustaf Molander,mother,Asger Aamund [MASK] Gustaf Molander
6,Asger Aamund mother Jango Fett,mother,Asger Aamund [MASK] Jango Fett
7,Asger Aamund witch Jango Fett,witch,Asger Aamund [MASK] Jango Fett
8,Dionysus witches Aegle,witches,Dionysus [MASK] Aegle
9,Dionysus mother Hanging,mother,Dionysus [MASK] Hanging
10,Dionysus mother Parantaka,mother,Dionysus [MASK] Parantaka
11,Dionysus witches Parantaka,witches,Dionysus [MASK] Parantaka
12,Dev Anand wives Kalpana Kartik,wives,Dev Anand [MASK] Kalpana Kartik
13,Dev Anand mother Konstancja Poniatowska,mother,Dev Anand [MASK] Konstancja Poniatowska
14,Dev Anand mother Pilar Azemar,mother,Dev Anand [MASK] Pilar Azemar
15,Dev Anand wives Pilar Azemar,wives,Dev Anand [MASK] Pilar Azemar
16,Saqqara mother Ankhesenpepi II,mother,Saqqara [MASK] Ankhesenpepi II
17,Saqqara mother Pat Phoenix,mother,Saqqara [MASK] Pat Phoenix
18,Saqqara mother Art mac Lugdach,mother,Saqqara [MASK] Art mac Lugdach
20,Oliver P. Bolton wives Frances P. Bolton,wives,Oliver P. Bolton [MASK] Frances P. Bolton
21,Oliver P. Bolton mother Tully Blanchard,mother,Oliver P. Bolton [MASK] Tully Blanchard
22,Oliver P. Bolton mother Doda,mother,Oliver P. Bolton [MASK] Doda
23,Oliver P. Bolton wives Doda,wives,Oliver P. Bolton [MASK] Doda
24,Tolui maternal Lingqun,maternal,Tolui [MASK] Lingqun
25,Tolui mother Manuchar I Dadiani,mother,Tolui [MASK] Manuchar I Dadiani
26,Tolui mother Caligula,mother,Tolui [MASK] Caligula
27,Tolui maternal Caligula,maternal,Tolui [MASK] Caligula
28,Obi-Wan Kenobi daughter PadmÃ© Amidala,daughter,Obi-Wan Kenobi [MASK] PadmÃ© Amidala
29,Obi-Wan Kenobi mother Ingvar Hjermann,mother,Obi-Wan Kenobi [MASK] Ingvar Hjermann
30,Obi-Wan Kenobi mother Locrinus,mother,Obi-Wan Kenobi [MASK] Locrinus
31,Obi-Wan Kenobi daughter Locrinus,daughter,Obi-Wan Kenobi [MASK] Locrinus
32,Raveena Ravi daughters Sreeja Ravi,daughters,Raveena Ravi [MASK] Sreeja Ravi
33,Raveena Ravi mother Erhard Jakobsen,mother,Raveena Ravi [MASK] Erhard Jakobsen
34,Raveena Ravi mother Ferdinand III,mother,Raveena Ravi [MASK] Ferdinand III
35,Raveena Ravi daughters Ferdinand III,daughters,Raveena Ravi [MASK] Ferdinand III
36,Kannauj widow Gulrukh Begum,widow,Kannauj [MASK] Gulrukh Begum
37,Kannauj mother Pedro Carrasco,mother,Kannauj [MASK] Pedro Carrasco
38,Kannauj mother Solomon kaDinuzulu,mother,Kannauj [MASK] Solomon kaDinuzulu
39,Kannauj widow Solomon kaDinuzulu,widow,Kannauj [MASK] Solomon kaDinuzulu
40,Lorne mistress Anne,mistress,Lorne [MASK] Anne
41,Lorne mother Ralph Abercromby,mother,Lorne [MASK] Ralph Abercromby
42,Lorne mother Thora Birch,mother,Lorne [MASK] Thora Birch
43,Lorne mistress Thora Birch,mistress,Lorne [MASK] Thora Birch
44,Prince of Conti daughters Anne Marie Martinozzi,daughters,Prince of Conti [MASK] Anne Marie Martinozzi
45,Prince of Conti mother Christopher Lloyd,mother,Prince of Conti [MASK] Christopher Lloyd
46,Prince of Conti mother Claire Douglas,mother,Prince of Conti [MASK] Claire Douglas
47,Prince of Conti daughters Claire Douglas,daughters,Prince of Conti [MASK] Claire Douglas
48,Sam Walton women Helen Walton,women,Sam Walton [MASK] Helen Walton
49,Sam Walton mother Antonio Maura,mother,Sam Walton [MASK] Antonio Maura
50,Sam Walton mother Vijay Mallya,mother,Sam Walton [MASK] Vijay Mallya
51,Sam Walton women Vijay Mallya,women,Sam Walton [MASK] Vijay Mallya
52,Ashoka empress Karuvaki,empress,Ashoka [MASK] Karuvaki
53,Ashoka mother Lennox Miller,mother,Ashoka [MASK] Lennox Miller
54,Ashoka mother Kunti,mother,Ashoka [MASK] Kunti
55,Ashoka empress Kunti,empress,Ashoka [MASK] Kunti
56,Laufey ValdimarsdÃ³ttir widow BrÃ­et BjarnhÃ©Ã°insdÃ³ttir,widow,Laufey ValdimarsdÃ³ttir [MASK] BrÃ­et BjarnhÃ©Ã°insdÃ³ttir
57,Laufey ValdimarsdÃ³ttir mother AydÄ±n DoÄan,mother,Laufey ValdimarsdÃ³ttir [MASK] AydÄ±n DoÄan
58,Laufey ValdimarsdÃ³ttir mother Artabanus,mother,Laufey ValdimarsdÃ³ttir [MASK] Artabanus
59,Laufey ValdimarsdÃ³ttir widow Artabanus,widow,Laufey ValdimarsdÃ³ttir [MASK] Artabanus
60,Dresden sisters Amalie Auguste,sisters,Dresden [MASK] Amalie Auguste
61,Dresden mother Alex Hirsch,mother,Dresden [MASK] Alex Hirsch
62,Dresden mother Carlo Ponti,mother,Dresden [MASK] Carlo Ponti
63,Dresden sisters Carlo Ponti,sisters,Dresden [MASK] Carlo Ponti
64,Izanagi witch Izanami,witch,Izanagi [MASK] Izanami
65,Izanagi mother Princess Isabelle,mother,Izanagi [MASK] Princess Isabelle
66,Izanagi mother Franklin Dyall,mother,Izanagi [MASK] Franklin Dyall
67,Izanagi witch Franklin Dyall,witch,Izanagi [MASK] Franklin Dyall
68,Gloria Vanderbilt wife Gloria Morgan Vanderbilt,wife,Gloria Vanderbilt [MASK] Gloria Morgan Vanderbilt
69,Gloria Vanderbilt mother Doug Sweetland,mother,Gloria Vanderbilt [MASK] Doug Sweetland
70,Gloria Vanderbilt mother Anna of Masovia,mother,Gloria Vanderbilt [MASK] Anna of Masovia
71,Gloria Vanderbilt wife Anna of Masovia,wife,Gloria Vanderbilt [MASK] Anna of Masovia
72,ElÅ¼bieta Konstancja Potulicka princess Maria Zamoyska,princess,ElÅ¼bieta Konstancja Potulicka [MASK] Maria Zamoyska
73,ElÅ¼bieta Konstancja Potulicka mother Michael VIII ),mother,ElÅ¼bieta Konstancja Potulicka [MASK] Michael VIII )
74,ElÅ¼bieta Konstancja Potulicka mother Wu Shaoyang,mother,ElÅ¼bieta Konstancja Potulicka [MASK] Wu Shaoyang
75,ElÅ¼bieta Konstancja Potulicka princess Wu Shaoyang,princess,ElÅ¼bieta Konstancja Potulicka [MASK] Wu Shaoyang
76,Ibrahim ibn Muhammad queen Maria al-Qibtiyya,queen,Ibrahim ibn Muhammad [MASK] Maria al-Qibtiyya
77,Ibrahim ibn Muhammad mother Xiong Kang,mother,Ibrahim ibn Muhammad [MASK] Xiong Kang
78,Ibrahim ibn Muhammad mother Arinjaya Chola,mother,Ibrahim ibn Muhammad [MASK] Arinjaya Chola
79,Ibrahim ibn Muhammad queen Arinjaya Chola,queen,Ibrahim ibn Muhammad [MASK] Arinjaya Chola
80,Shantanu women Satyavati,women,Shantanu [MASK] Satyavati
81,Shantanu mother Cui Yixuan,mother,Shantanu [MASK] Cui Yixuan
82,Shantanu mother Johann Heinrich Gossler,mother,Shantanu [MASK] Johann Heinrich Gossler
83,Shantanu women Johann Heinrich Gossler,women,Shantanu [MASK] Johann Heinrich Gossler
84,Heliadae mistress Rhodos,mistress,Heliadae [MASK] Rhodos
85,Heliadae mother Deimachus,mother,Heliadae [MASK] Deimachus
86,Heliadae mother Tewhida Ben Sheikh,mother,Heliadae [MASK] Tewhida Ben Sheikh
87,Heliadae mistress Tewhida Ben Sheikh,mistress,Heliadae [MASK] Tewhida Ben Sheikh
88,Baron Ashcombe daughters Sonia Cubitt,daughters,Baron Ashcombe [MASK] Sonia Cubitt
89,Baron Ashcombe mother Whoopi Goldberg,mother,Baron Ashcombe [MASK] Whoopi Goldberg
90,Baron Ashcombe mother Anastasia Pirovano,mother,Baron Ashcombe [MASK] Anastasia Pirovano
91,Baron Ashcombe daughters Anastasia Pirovano,daughters,Baron Ashcombe [MASK] Anastasia Pirovano
92,Thersander sorcerer Demonassa,sorcerer,Thersander [MASK] Demonassa
93,Thersander mother George Booth,mother,Thersander [MASK] George Booth
94,Thersander mother Nigel Hawthorne,mother,Thersander [MASK] Nigel Hawthorne
95,Thersander sorcerer Nigel Hawthorne,sorcerer,Thersander [MASK] Nigel Hawthorne
96,Ahmed III daughter MihriÅah KadÄ±n,daughter,Ahmed III [MASK] MihriÅah KadÄ±n
97,Ahmed III mother Margaret Roper,mother,Ahmed III [MASK] Margaret Roper
98,Ahmed III mother Wolfgang Liebeneiner,mother,Ahmed III [MASK] Wolfgang Liebeneiner
99,Ahmed III daughter Wolfgang Liebeneiner,daughter,Ahmed III [MASK] Wolfgang Liebeneiner
100,Leon Ko princess Lucilla Yu Ming,princess,Leon Ko [MASK] Lucilla Yu Ming
101,Leon Ko mother Heberto Padilla,mother,Leon Ko [MASK] Heberto Padilla
102,Leon Ko mother Beatrice Bilgeri,mother,Leon Ko [MASK] Beatrice Bilgeri
103,Leon Ko princess Beatrice Bilgeri,princess,Leon Ko [MASK] Beatrice Bilgeri
104,William Penn daughters Hannah Callowhill Penn,daughters,William Penn [MASK] Hannah Callowhill Penn
105,William Penn mother Roger Kemp,mother,William Penn [MASK] Roger Kemp
106,William Penn mother Neil Patrick Harris,mother,William Penn [MASK] Neil Patrick Harris
107,William Penn daughters Neil Patrick Harris,daughters,William Penn [MASK] Neil Patrick Harris
108,Vladimir II Monomakh empress Gytha,empress,Vladimir II Monomakh [MASK] Gytha
109,Vladimir II Monomakh mother Isabelle,mother,Vladimir II Monomakh [MASK] Isabelle
110,Vladimir II Monomakh mother Mukesh Gautam,mother,Vladimir II Monomakh [MASK] Mukesh Gautam
111,Vladimir II Monomakh empress Mukesh Gautam,empress,Vladimir II Monomakh [MASK] Mukesh Gautam
112,Juliette de Rothschild princess Betty de Rothschild,princess,Juliette de Rothschild [MASK] Betty de Rothschild
113,Juliette de Rothschild mother Canute IV,mother,Juliette de Rothschild [MASK] Canute IV
